,area,n_soceco,per_x_hog,educ,afil_sisprev,sprev_salud,activ
304,1,0,5,9,1,0,1
305,1,2,3,2,1,0,1
306,1,1,7,10,1,3,1
307,1,1,3,2,1,0,0
308,1,5,3,4,1,0,0
309,1,0,3,2,1,0,1
310,1,2,3,1,1,0,0
311,1,3,5,7,1,0,0
312,1,0,2,0,1,0,1
313,1,2,3,10,1,0,1
314,1,0,2,2,1,0,1
315,1,3,3,4,0,0,1
316,1,0,4,0,1,3,0
317,1,0,3,9,1,0,0
318,1,3,6,5,0,0,1
319,0,1,1,5,1,0,0
320,1,2,5,8,1,1,0
321,1,3,3,5,1,0,1
322,1,3,4,4,0,0,2
323,1,4,1,9,1,1,1
324,1,4,3,10,0,1,2
325,1,2,3,9,0,3,1
326,1,4,3,2,1,1,0
327,1,2,3,5,1,0,1
328,1,2,2,0,1,0,1
329,0,0,5,2,1,0,1
330,0,0,3,0,0,0,0
331,0,0,3,2,1,0,1
332,1,2,3,10,1,1,0
333,0,3,1,0,1,0,0
334,1,2,4,6,1,1,0
335,1,4,2,9,1,1,1
336,0,0,2,3,1,0,0
337,1,2,1,0,1,0,1
338,1,4,4,9,1,0,1
339,1,2,2,8,1,0,1
340,1,2,2,9,1,0,1
341,1,2,5,5,1,0,0
342,1,2,6,2,1,0,1
343,1,0,4,8,0,0,0
344,1,3,3,4,0,0,2
345,0,0,5,2,0,0,0
346,1,3,4,2,1,0,0
347,1,0,2,0,1,0,0
348,1,4,2,9,1,1,1
349,1,4,2,10,1,0,0
350,1,3,5,4,1,0,1
351,1,3,4,2,1,0,1
352,1,4,3,4,1,2,0
353,1,1,3,4,1,0,0
354,1,5,5,9,1,1,1
355,1,4,7,11,1,1,1
356,1,3,2,4,1,0,1
357,0,0,4,5,1,0,1
358,1,0,4,6,1,0,0
359,1,0,1,4,0,0,1
360,1,3,6,0,1,0,1
361,1,4,6,5,0,0,2
362,0,1,6,5,1,0,1
363,1,2,6,4,1,0,0
364,1,0,8,2,1,0,0
365,1,5,4,10,1,0,0
366,1,5,2,1,1,0,1
367,0,0,5,2,1,3,0
368,1,3,3,5,1,0,2
369,1,1,5,0,0,0,0
370,1,0,1,4,1,0,0
371,0,0,3,0,0,0,0
372,1,0,2,0,1,0,1
373,1,2,3,0,1,1,1
374,0,3,2,3,1,3,1
375,0,3,4,4,1,0,0
376,1,0,6,1,1,3,1
377,1,4,1,9,0,0,0
378,0,0,2,5,0,0,0
379,1,2,2,9,4,0,0
380,0,1,6,6,1,1,1
381,1,3,3,3,1,0,0
382,1,4,4,1,1,0,1
383,0,0,5,9,1,0,1
